zip_id,zip,city,state
791,1798,Dearborn Hts,Michigan
792,30030,Decatur,Georgia
793,62521,Decatur,Illinois
794,1798,Dededo,Gu
795,2026,Dedham,Massachusetts
796,11729,Deer Park,New York
797,60015,Deerfield,Illinois
798,3037,Deerfield,New York
799,33441,Deerfield Beach,Florida
800,1798,Deforest,Wisconsin
801,60115,Dekalb,Illinois
802,32720,Deland,Florida
803,43015,Delaware,Ohio
804,21875,Delmar,Maryland
805,12054,Delmar,New York
806,15626,Delmont,Pennsylvania
807,33444,Delray Beach,Florida
808,88030,Deming,New Mexico
809,70706,Denham Springs,Louisiana
810,29042,Denmark,South Carolina
811,76201,Denton,Texas
812,80201,Denver,Colorado
813,7834,Denville,New Jersey
814,1798,Depere,Wisconsin
815,14043,Depew,New York
816,8096,Deptford,New Jersey
817,3038,Derry,New Hampshire
818,20855,Derwood,Maryland
819,50301,Des Moines,Iowa
820,60016,Des Plaines,Illinois
821,1798,Desmoines,Iowa
822,75115,Desoto,Texas
823,32540,Destin,Florida
824,48201,Detroit,Michigan
825,1434,Devens,Massachusetts
826,1798,Devin,Pennsylvania
827,19333,Devon,Pennsylvania
828,1798,Dfb,Florida
829,91765,Diamond Bar,California
830,1798,Dix Hill,New York
831,1798,Dix Hills,New York
832,10522,Dobbs Ferry,New York
833,53533,Dodgeville,Wisconsin
834,1798,Dorado,Pr
835,1798,Doral,Florida
836,1798,Doraville,Georgia
837,2121,Dorchester,Massachusetts
838,36301,Dothan,Alabama
839,82633,Douglas,Wyoming
840,1798,Douglaston,New York
841,1798,Douglaville,Georgia
842,19901,Dover,Delaware
843,3820,Dover,New Hampshire
844,60515,Downers Grove,Illinois
845,90239,Downey,California
846,1798,Downington,Pennsylvania
847,19335,Downingtown,Pennsylvania
848,18901,Doylestown,Pennsylvania
849,1826,Dracut,Massachusetts
850,84020,Draper,Utah
851,19025,Dresher,Pennsylvania
852,19026,Drexel Hill,Pennsylvania
853,78620,Dripping Springs,Texas
854,91008,Duarte,California
855,1798,Dubblin,Ohio
856,94568,Dublin,California
857,31021,Dublin,Georgia
858,43016,Dublin,Ohio
859,47527,Dubois,Pennsylvania
860,52001,Dubuque,Iowa
861,25063,Duck,North Carolina
862,87528,Dulce,New Mexico
863,20101,Dulles,Virginia
864,30095,Duluth,Georgia
865,55801,Duluth,Minnesota
866,7628,Dumont,New Jersey
867,16635,Duncansville,Pennsylvania
868,21222,Dundalk,Maryland
869,61525,Dunlap,Illinois
870,22027,Dunn Loring,Virginia
871,1798,Dunnellen,New Jersey
872,1798,Dunwoody,Georgia
873,98327,Dupont,Washington
874,39063,Durant,Mississippi
875,27701,Durham,North Carolina
876,98019,Duvall,Washington
877,1798,Dwarka,Unkown
